Strip_#,SW_Paint_#,Color_Name,Trim_Only,Body_&_Trim_Combos,Front_Door_&_Shutter_Only
120,6636,Husky Orange,,,x
130,6382,"Ceremonial
Gold",,,x
130,6383,Golden Rule,,,x
130,6384,"Cut the
Mustard",,,x
139,6390,Bosc Pear,,,x
139,6391,Gallant Gold,,,x
140,6131,Chamois,,,x
140,6132,Relic Bronze,,,x
171,6488,Grand Canal,,,x
171,6489,Really Teal,,,x
165,6775,Briny,,,x
114,6326,Henna Shade,,,x
114,6327,Bold Brick,,,x
114,6328,Fireweed,,,x
122,6657,Amber Wave,,,x
122,7703,Earthen Jug,,,x
126,6356,"Copper
Mountain",,,x
128,6369,Tassel,,,
128,6370,Saucy Gold,,,x
128,7709,Copper Pot,,,x
251,6258,Tricorn Black,,,x
309,2801,"Rookwood
Dark Red",,,x
309,2802,Rookwood Red,,,x
309,2803,"Rookwood
Terra Cotta",,,x
115,6333,Foxy,,,x
115,6334,Flower Pot,,,x
115,6335,Fired Brick,,,x
101,6871,Positive Red,,,x
101,6861,Radish,,,x
101,6866,Heartthrob,,,x
275,7586,Stolen Kiss,,,x
275,7582,Salute,,,x
275,7583,Wild Currant,,,x
275,7585,Tomato,,,x
275,7593,Rustic Red,,,x
